NodeID,PathIDs,TotalCost
438,438.0 439.0 270.0 276.0 269.0 268.0 428.0 267.0 290.0 266.0 259.0 431.0 167.0 393.0 427.0 73.0 171.0 214.0 208.0 420.0 145.0 216.0 222.0 254.0 219.0 353.0 342.0 343.0 333.0 341.0 312.0 329.0 388.0 389.0 387.0 130.0 385.0 126.0 120.0 93.0 94.0 112.0 109.0 97.0 98.0 100.0 286.0 283.0,3872.908779042223
513,513.0 115.0 119.0 408.0 302.0 303.0 306.0,1035.109820517875
189,189.0 9.0 157.0 25.0 11.0 40.0 66.0 18.0 19.0 47.0 4.0 152.0 159.0 41.0 399.0 69.0 404.0 71.0 132.0 74.0 63.0 12.0 504.0 291.0 292.0 421.0 89.0 476.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,1870.8156605120844
157,157.0 25.0 11.0 40.0 66.0 18.0 19.0 47.0 4.0 152.0 159.0 41.0 399.0 69.0 404.0 71.0 132.0 74.0 63.0 12.0 504.0 291.0 292.0 421.0 89.0 476.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,1752.7520925383083
515,515.0 115.0 119.0 408.0 302.0 303.0 306.0,1034.631733395961
439,439.0 270.0 276.0 269.0 268.0 428.0 267.0 290.0 266.0 259.0 431.0 167.0 393.0 427.0 73.0 171.0 214.0 208.0 420.0 145.0 216.0 222.0 254.0 219.0 353.0 342.0 343.0 333.0 341.0 312.0 329.0 388.0 389.0 387.0 130.0 385.0 126.0 120.0 93.0 94.0 112.0 109.0 97.0 98.0 100.0 286.0 283.0,3704.0652494351775
326,326.0 328.0 311.0 81.0 312.0 329.0 388.0 389.0 387.0 130.0 385.0 126.0 120.0 93.0 94.0 112.0 109.0 97.0 98.0 100.0 286.0 283.0,1248.431419015058
185,185.0 176.0 182.0 179.0 149.0 148.0 147.0 131.0 224.0 223.0 482.0 390.0 483.0 124.0 231.0 360.0 125.0 123.0 475.0 474.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,1566.5847169124054
320,320.0 338.0 340.0 337.0 316.0 318.0 342.0 343.0 333.0 341.0 312.0 329.0 388.0 389.0 387.0 130.0 385.0 126.0 120.0 93.0 94.0 112.0 109.0 97.0 98.0 100.0 286.0 283.0,1499.7673050599415
154,154.0 200.0 153.0 201.0 392.0 395.0 193.0 401.0 397.0 400.0 396.0 407.0 403.0 398.0 399.0 69.0 404.0 71.0 132.0 74.0 63.0 12.0 504.0 291.0 292.0 421.0 89.0 476.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,2035.3749729323338
259,259.0 431.0 167.0 393.0 427.0 73.0 171.0 214.0 208.0 420.0 145.0 216.0 222.0 254.0 219.0 353.0 342.0 343.0 333.0 341.0 312.0 329.0 388.0 389.0 387.0 130.0 385.0 126.0 120.0 93.0 94.0 112.0 109.0 97.0 98.0 100.0 286.0 283.0,2525.8947302626316
477,477.0 128.0 362.0 125.0 123.0 475.0 474.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,791.5711734772825
55,55.0 77.0 76.0 122.0 391.0 130.0 385.0 126.0 120.0 93.0 94.0 112.0 109.0 97.0 98.0 100.0 286.0 283.0,1141.1700073342843
270,270.0 276.0 269.0 268.0 428.0 267.0 290.0 266.0 259.0 431.0 167.0 393.0 427.0 73.0 171.0 214.0 208.0 420.0 145.0 216.0 222.0 254.0 219.0 353.0 342.0 343.0 333.0 341.0 312.0 329.0 388.0 389.0 387.0 130.0 385.0 126.0 120.0 93.0 94.0 112.0 109.0 97.0 98.0 100.0 286.0 283.0,3654.7441864412544
53,53.0 36.0 135.0 89.0 476.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,1036.8879240240199
103,103.0 111.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,555.3319273825017
487,487.0 506.0 93.0 94.0 112.0 109.0 97.0 98.0 100.0 286.0 283.0,721.4829897904903
382,382.0 381.0 383.0 488.0 487.0 506.0 93.0 94.0 112.0 109.0 97.0 98.0 100.0 286.0 283.0,778.996665761871
